t # 0
v 0 2
v 1 3
v 2 5
v 3 6
v 4 4
e 0 1 2
e 0 2 2
e 0 4 2
e 2 3 4
t # 1
v 0 2
v 1 3
v 2 6
v 3 4
e 0 1 2
e 0 2 2
e 0 3 2
t # 2
v 0 2
v 1 3
v 2 6
v 3 4
e 0 1 2
e 0 2 2
e 0 3 2
t # 3
v 0 2
v 1 3
v 2 6
v 3 4
e 0 1 2
e 0 2 2
e 0 3 2
t # 4
v 0 2
v 1 3
v 2 6
v 3 4
e 0 1 2
e 0 2 2
e 0 3 2
t # 5
v 0 2
v 1 3
v 2 4
v 3 6
e 0 1 2
e 0 2 2
e 0 3 2
t # 6
v 0 2
v 1 3
v 2 4
v 3 6
e 0 1 2
e 0 2 2
e 0 3 2
t # 7
v 0 2
v 1 3
v 2 4
v 3 5
v 4 6
e 0 1 2
e 0 2 2
e 0 3 2
e 3 4 5
t # 8
v 0 2
v 1 3
v 2 4
v 3 6
e 0 1 2
e 0 2 2
e 0 3 2
t # 9
v 0 2
v 1 3
v 2 4
v 3 6
e 0 1 2
e 0 2 2
e 0 3 2
t # 10
v 0 2
v 1 3
v 2 4
v 3 6
e 0 1 2
e 0 2 2
e 0 3 2
t # 11
v 0 2
v 1 3
v 2 4
v 3 6
e 0 1 2
e 0 2 2
e 0 3 2
t # 12
v 0 2
v 1 3
v 2 4
v 3 6
e 0 1 2
e 0 2 2
e 0 3 2
t # 13
v 0 2
v 1 3
v 2 4
v 3 6
e 0 1 2
e 0 2 2
e 0 3 2
t # -1
